Call Failure,Complaints,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
12,0,25,1,1470,35,21,13,2,1,1,25,162.225,0
21,0,17,3,9838,187,101,57,5,1,1,55,301.875,0
0,0,39,0,2268,60,6,36,1,1,1,15,161.04,0
0,0,31,0,2055,27,270,15,3,1,1,30,1163.28,0
3,0,24,0,3630,66,9,21,3,1,1,30,183.84,0
6,0,38,1,11060,149,0,49,4,1,1,45,280.225,0
5,0,40,0,1665,50,46,21,4,1,2,45,157.875,0
7,0,32,0,15485,176,142,29,2,1,1,25,1343.745,0
3,0,41,0,5613,95,8,11,3,1,1,30,260.32,0
6,0,36,2,4810,87,16,38,3,1,1,30,259.88,0
0,0,8,1,2288,29,9,11,3,1,1,30,128.68,0
13,0,39,0,4560,71,7,15,2,1,1,25,239.895,0
0,0,25,0,2980,58,6,23,3,1,1,30,145.52,0
9,0,35,1,3595,74,21,23,3,1,1,30,230.76,0
0,0,3,0,3825,24,193,2,2,1,1,25,1041.705,0
5,0,14,1,1740,22,20,10,2,1,1,25,169.29,0
16,0,40,2,4080,88,39,30,3,1,1,30,322.72,0
9,0,44,1,2620,49,300,24,3,1,1,30,1306.76,0
17,0,21,2,6473,143,95,46,2,2,1,25,725.22,0
7,0,35,0,2338,55,361,25,2,1,1,25,1732.185,0
5,0,37,1,3500,32,484,6,3,1,1,30,2077.28,0
7,0,38,0,2328,62,363,27,2,1,1,25,1741.05,0
0,0,36,1,338,4,4,2,5,1,1,55,11.13,0
11,0,38,1,3085,59,182,25,2,1,1,25,960.48,0
8,0,37,1,6718,75,108,37,2,1,1,25,791.685,0
22,0,36,2,15025,220,56,33,3,1,1,30,833.8,0
5,0,38,0,305,6,7,2,2,1,2,25,45.495,1
8,0,36,1,3335,29,16,19,3,1,1,30,198.56,0
7,0,26,0,3415,61,7,21,3,1,1,30,167.04,0
0,0,12,1,1182,19,1,6,3,1,1,30,52.04,1
6,0,40,0,15180,182,151,29,2,1,1,25,1370.79,0
7,0,38,2,2993,68,23,48,2,1,1,25,241.245,0
3,0,28,1,885,13,26,5,4,1,1,45,87.45,0
0,0,33,0,3298,70,0,22,2,1,1,25,151.56,0
23,0,28,3,15895,230,0,75,2,1,1,25,725.625,0
18,0,21,2,9318,179,90,46,5,1,1,55,277.455,0
1,0,25,0,1255,33,188,9,2,2,1,25,903.96,0
17,0,39,2,4485,93,40,28,3,1,1,30,343.12,0
8,0,39,2,7045,107,29,28,5,1,1,55,150.78,0
30,0,34,5,16495,250,39,86,2,2,1,25,929.025,0
1,0,5,0,4310,38,205,6,3,1,1,30,993.92,0
8,0,36,0,3660,77,34,29,2,1,1,25,321.165,0
9,0,42,2,11465,160,19,48,4,1,1,45,338.125,0
5,0,40,0,2065,35,271,5,3,1,1,30,1168.0,0
11,0,42,1,3730,86,40,32,3,1,1,30,312.64,0
0,0,28,0,1343,35,33,70,4,1,1,45,116.95,0
26,0,39,10,10855,105,40,48,5,2,1,55,224.4,0
0,0,13,0,1210,12,10,7,2,1,1,25,99.99,0
3,0,30,0,1883,36,17,25,3,1,2,30,144.76,1
10,0,40,0,1943,50,7,4,3,1,2,30,107.72,0
5,0,29,1,6830,93,7,18,5,1,1,55,114.345,0
12,0,41,2,14193,181,39,50,3,1,1,30,730.96,0
0,0,29,2,6480,102,253,26,2,2,1,25,1434.69,0
23,0,35,3,14960,217,43,27,3,1,1,30,779.08,0
1,0,9,1,1297,18,0,4,3,1,1,30,52.6,1
18,0,41,3,5530,100,17,27,4,1,1,45,183.25,0
0,0,34,1,1963,29,14,19,3,1,1,30,135.68,0
1,0,33,0,2360,41,136,17,2,1,1,25,720.045,0
1,0,37,0,7318,126,375,40,2,1,1,25,2022.48,0
0,0,31,0,628,1,1,3,4,1,2,45,18.225,1
3,0,39,0,990,19,0,10,2,1,2,25,45.405,0
0,0,30,0,5770,80,0,20,4,1,1,45,146.25,0
20,0,43,3,6123,110,41,27,3,1,1,30,413.32,0
3,0,10,2,1603,25,32,11,3,1,1,30,193.12,1
5,0,42,0,888,17,24,10,4,1,2,45,82.625,1
3,0,8,1,4795,45,216,8,3,1,1,30,1057.6,0
0,0,43,0,273,9,15,8,2,1,2,25,80.19,0
16,0,36,0,14235,209,26,15,3,1,1,30,681.76,0
15,0,17,1,9047,176,71,39,5,1,1,55,244.845,0
6,0,36,2,4318,92,23,43,3,1,1,30,268.4,0
6,0,18,2,2295,36,49,29,2,1,1,25,325.395,0
12,0,17,0,5793,131,64,27,1,2,1,15,677.82,0
14,0,40,2,3890,87,30,27,3,1,1,30,279.08,0
10,0,37,1,13898,167,7,41,3,1,1,30,590.6,0
0,0,38,0,990,20,32,15,2,1,2,25,189.45,0
0,0,37,0,875,14,0,11,2,1,2,25,40.005,0
5,0,32,1,3065,26,7,12,3,1,1,30,151.64,0
2,0,37,1,3833,88,34,32,3,1,1,30,292.84,0
6,0,34,1,5963,91,7,8,3,1,1,30,270.16,0
9,0,38,1,5593,94,29,26,2,1,1,25,386.415,1
11,0,40,0,2990,47,17,17,3,1,2,30,189.48,1
13,0,12,3,5405,57,230,12,3,1,1,30,1138.48,0
5,0,11,1,4095,36,201,25,3,1,1,30,969.24,0
2,0,36,0,6008,64,83,37,2,1,1,25,646.74,0
3,0,22,0,1488,37,20,64,4,1,1,45,88.125,0
13,0,38,3,9230,127,176,47,3,1,1,30,1078.28,0
23,1,37,0,910,51,24,21,2,1,2,25,151.245,1
2,1,33,0,2495,34,0,11,2,1,2,25,113.805,1
2,0,33,0,1753,40,0,10,3,1,2,30,71.72,0
21,1,36,8,10435,93,1,42,5,1,1,55,159.42,0
12,0,37,3,7318,85,129,52,2,1,1,25,913.635,0
5,0,41,0,4065,71,6,16,3,1,1,30,189.44,0
14,1,12,3,2502,36,15,9,3,1,1,30,161.52,1
0,0,6,0,3375,23,183,8,3,1,1,30,867.92,0
10,0,34,5,7565,126,292,48,2,2,1,25,1660.095,0
0,0,30,1,6600,107,259,29,2,2,1,25,1467.315,0
1,0,24,0,1453,34,32,69,4,1,1,45,117.175,0
28,1,35,0,1260,53,23,19,3,1,2,30,144.52,1
7,0,43,0,933,19,24,7,4,1,2,45,83.8,1
2,0,10,2,4505,46,247,14,3,1,1,30,1170.04,0
17,0,16,0,9123,171,48,38,4,1,1,45,352.35,0
0,0,31,0,6670,92,16,23,4,1,1,45,209.05,0
14,0,40,2,3145,62,187,27,2,1,1,25,985.815,0
12,0,38,1,4443,69,7,35,1,1,1,15,286.66,0
6,0,13,3,2673,37,20,14,3,1,1,30,188.4,0
26,0,42,9,10695,103,16,48,5,2,1,55,185.97,0
13,0,36,1,5818,98,26,24,2,1,1,25,383.22,1
19,1,43,0,3555,57,31,24,3,1,2,30,268.48,1
17,0,41,2,6933,112,22,14,3,1,1,30,369.8,0
2,0,38,0,2555,49,178,25,2,1,1,25,918.18,0
0,0,36,0,5790,75,161,26,3,1,1,30,878.6,0
6,0,45,0,703,13,24,10,3,1,2,30,124.64,0
12,0,34,0,15790,182,149,31,2,1,1,25,1389.24,0
13,0,40,1,5773,102,34,28,2,1,1,25,417.375,0
13,0,38,0,2838,64,29,32,3,1,2,30,232.08,0
0,0,24,0,3035,61,33,25,3,1,1,30,255.84,0
7,0,31,0,8730,113,127,37,3,1,1,30,861.72,0
28,0,40,4,15200,228,59,34,3,1,1,30,853.12,0
0,0,22,0,210,15,0,11,2,1,1,25,10.125,0
3,0,30,0,2148,48,344,21,2,1,1,25,1646.82,0
7,0,11,2,4695,46,222,12,3,1,1,30,1077.64,0
12,0,37,1,2698,63,361,24,3,1,1,30,1554.44,0
26,0,37,8,10625,93,7,40,4,1,1,45,285.45,0
0,0,40,1,6195,86,187,25,3,1,1,30,999.24,0
14,0,26,0,825,23,7,4,3,1,2,30,61.92,0
0,0,40,0,7203,127,385,42,3,1,1,30,1833.2,0
13,0,39,1,2513,63,364,26,3,1,1,30,1559.04,0
1,0,35,0,1553,19,0,2,3,1,1,30,62.88,0
18,0,33,2,14655,211,36,25,3,1,1,30,738.64,0
4,0,41,1,3718,88,10,29,3,1,1,30,192.24,0
5,0,19,0,965,22,4,7,2,1,1,25,62.415,0
3,0,35,0,1958,53,343,19,2,1,1,25,1633.995,0
8,0,43,2,683,14,19,8,3,1,1,30,103.88,0
6,0,37,2,1048,15,12,2,5,1,1,55,33.945,0
1,0,38,0,723,10,8,2,2,1,2,25,68.985,0
17,0,33,0,1085,33,27,13,3,1,2,30,152.72,0
5,0,42,2,6500,92,194,27,3,1,1,30,1039.68,0
6,0,26,0,510,25,35,9,3,1,2,30,161.4,0
19,0,32,1,14755,217,37,26,3,1,1,30,746.88,0
23,0,41,9,10435,99,9,43,5,2,1,55,171.51,0
0,0,30,0,5353,79,0,4,2,1,1,25,244.44,0
3,0,38,0,743,12,7,3,4,1,2,45,36.375,1
11,1,39,0,2448,52,45,36,3,1,2,30,280.0,1
0,0,37,0,1440,40,41,22,3,1,2,30,223.2,0
12,0,26,2,2260,42,50,22,3,1,1,30,292.08,0
5,0,37,0,2375,48,157,25,2,1,1,25,815.535,0
5,0,9,1,4635,43,217,10,3,1,1,30,1055.12,0
2,0,37,0,190,1,9,3,2,1,2,25,49.095,1
5,0,39,0,1048,19,48,10,4,1,2,45,146.675,1
24,0,27,2,15995,236,0,76,2,1,1,25,730.395,0
10,0,40,1,2888,65,18,38,2,1,1,25,213.885,0
12,0,38,0,4388,67,10,38,1,1,1,15,300.025,0
7,0,37,0,13658,163,0,40,3,1,1,30,552.84,0
27,0,20,3,7407,158,100,44,2,2,1,25,790.425,0
20,1,38,0,4005,58,24,18,3,1,2,30,258.52,1
10,0,38,1,4615,74,7,17,3,1,1,30,215.56,0
2,0,5,0,1408,17,0,3,3,1,1,30,57.0,1
0,0,36,0,595,9,15,9,2,1,2,25,94.68,0
2,1,33,0,1960,48,52,33,3,1,2,30,288.32,1
18,0,40,4,9535,133,183,49,3,1,1,30,1118.72,0
0,1,40,0,583,11,17,8,4,1,2,45,57.35,1
0,0,30,0,3950,67,0,17,3,1,1,30,160.68,0
0,0,32,0,2725,17,2,15,3,1,1,30,117.68,0
6,0,34,1,3943,86,7,26,3,1,1,30,189.16,0
4,0,31,0,2068,52,342,18,2,1,1,25,1634.4,0
5,0,33,1,6975,98,23,25,5,1,1,55,140.595,0
0,1,7,0,1372,14,2,8,2,1,1,25,71.37,1
22,1,40,9,10515,95,11,46,5,1,1,55,175.65,0
13,0,27,1,1340,37,17,12,2,1,1,25,138.465,0
0,0,35,0,7013,120,368,38,2,1,1,25,1976.985,0
22,0,36,2,15080,222,49,30,3,1,1,30,808.08,0
2,0,21,0,860,23,7,9,2,1,1,25,71.235,0
5,0,40,0,305,6,7,2,2,1,2,25,45.495,0
6,0,30,1,7090,97,13,23,4,1,1,45,212.175,0
0,0,31,0,5613,83,0,9,2,1,1,25,256.32,0
13,0,37,2,16085,192,171,45,2,1,1,25,1501.965,0
1,0,37,1,6310,85,177,23,3,1,1,30,963.8,0
21,1,30,0,775,39,5,12,2,1,2,25,59.13,1
5,0,38,0,305,6,7,2,5,1,1,55,15.165,0
4,0,31,0,2780,47,167,22,2,1,1,25,878.715,0
6,0,39,1,6033,101,39,16,3,1,1,30,401.36,0
18,0,34,0,1005,37,25,10,3,1,2,30,141.68,0
11,0,39,3,1353,21,19,4,5,1,1,55,49.11,0
1,0,30,1,1010,36,194,10,2,2,1,25,920.07,0
9,0,40,0,1205,21,29,13,3,1,2,30,165.04,0
0,0,23,0,2320,45,0,6,3,1,1,30,94.6,0
0,0,35,0,0,0,0,0,4,1,2,45,0.0,1
1,0,30,0,1665,38,30,19,3,1,2,30,188.12,0
2,0,36,1,528,5,13,5,5,1,1,55,27.495,0
0,0,28,1,6580,108,254,27,2,2,1,25,1443.96,0
5,0,37,1,6745,89,188,26,3,1,1,30,1025.36,0
9,0,36,1,4493,70,15,48,1,1,1,15,333.465,0
1,0,41,0,80,2,10,4,2,1,2,25,48.69,1
2,0,36,0,1260,39,20,22,3,1,2,30,131.96,0
5,0,36,0,1668,34,13,16,3,1,2,30,120.08,1
6,0,35,4,7080,122,303,37,3,2,1,30,1500.08,0
32,0,33,4,16570,245,16,85,2,2,1,25,828.675,0
8,0,40,1,2698,64,9,35,2,1,1,25,164.79,0
1,0,36,0,5613,89,0,10,2,1,1,25,256.59,0
6,1,42,0,1013,15,26,10,4,1,2,45,90.7,1
5,0,35,0,1015,14,12,9,2,1,2,25,100.305,0
0,0,36,0,1540,46,42,23,3,1,2,30,231.44,0
20,0,31,0,840,42,18,18,2,1,2,25,120.69,1
4,0,22,0,215,11,0,3,2,1,2,25,10.17,0
3,0,33,0,438,2,0,3,3,1,2,30,17.6,1
16,1,43,0,2573,56,49,34,4,1,2,45,188.225,1
0,0,32,0,10980,140,0,40,3,1,1,30,444.8,0
0,0,35,0,0,0,0,0,3,1,2,30,0.0,1
5,0,37,0,1120,17,7,11,2,1,2,25,82.665,0
4,0,37,0,2980,21,451,4,3,1,1,30,1924.04,0
0,0,35,0,438,7,34,6,4,1,2,45,96.125,1
13,0,44,3,4900,91,19,31,3,1,1,30,275.64,0
0,0,30,0,780,14,29,7,4,1,2,45,92.35,0
17,0,45,3,12030,170,33,55,4,1,1,45,387.5,0
2,0,31,0,1783,30,16,24,3,1,2,30,136.52,1
11,0,39,0,2158,56,345,11,3,1,1,30,1468.56,0
14,0,45,3,4820,95,17,28,4,1,1,45,165.375,0
0,0,36,0,3610,67,0,8,3,1,1,30,147.08,0
13,0,21,2,2710,43,43,16,3,1,1,30,282.12,0
21,0,19,2,6697,147,92,44,2,2,1,25,721.98,0
8,0,15,0,8333,161,52,25,4,1,1,45,342.35,0
5,0,11,2,4450,43,220,12,3,1,1,30,1059.72,0
0,0,8,0,3680,29,190,10,3,1,1,30,908.36,0
18,0,40,3,12480,171,26,49,4,1,1,45,381.275,0
21,0,33,0,765,46,7,14,2,1,2,25,67.995,1
25,0,34,3,15185,221,46,28,3,1,1,30,800.24,0
16,0,26,1,1935,43,27,13,2,1,1,25,210.51,0
8,0,19,1,2405,37,36,14,2,1,1,25,271.89,0
5,0,40,0,1295,26,39,17,3,1,2,30,208.84,0
0,0,32,0,2535,16,0,12,3,1,1,30,102.04,0
14,0,38,2,4798,76,22,50,1,1,1,15,389.07,0
8,0,37,1,4920,88,3,23,3,1,1,30,212.32,0
10,0,41,1,15565,184,160,34,2,1,1,25,1428.705,0
4,0,32,1,7190,102,15,20,4,1,1,45,219.8,0
0,0,23,0,2730,54,0,18,3,1,1,30,111.36,0
9,0,21,0,1145,30,9,9,2,1,1,25,93.375,0
19,0,20,1,9418,185,91,47,5,1,1,55,280.545,0
7,0,35,2,7013,79,122,50,2,1,1,25,868.14,0
0,0,33,0,2085,25,0,9,2,1,2,25,94.95,1
1,0,33,0,2725,16,0,10,3,1,1,30,109.64,0
2,0,35,0,4095,71,0,19,3,1,1,30,166.64,0
